TRADEDATE,AFKS,AFLT,ALRS,CBOM,CHMF,DSKY,ENPG,FEES,FIVE,FIXP,GAZP,GLTR,GMKN,HHRU,HYDR,IRAO,LKOH,MAGN,MGNT,MOEX,MTSS,NLMK,NVTK,OZON,PHOR,PIKK,PLZL,POGR,POLY,ROSN,RTKM,RUAL,SBER,SBERP,SNGS,SNGSP,TATN,TATNP,TCSG,TRNFP,VKCO,VTBR,YNDX
2013-03-25,,,,,,,,,,,,,,,,,1922.0,,,,,,,,,,,,,,,,98.79,73.35,,,,,,,,0.05043,
2013-03-26,,,,,,,,,,,,,,,,,1944.5,,,,,,,,,,,,,,,,97.2,72.3,,,,,,,,0.0494,
2013-03-27,,,,,,,,,,,,,,,,,1969.7,,,,,,,,,,,,,,,,96.75,72.28,,,,,,,,0.04821,
2013-03-28,,,,,,,,,,,,,,,,,1993.2,,,,,,,,,,,,,,,,98.59,75.12,,,,,,,,0.04979,
2013-03-29,,,,,,,,,,,,,,,,,2003.4,,,,,,,,,,,,,,,,98.76,75.11,,,,,,,,0.04987,
2013-04-01,,,,,,,,,,,,,,,,,1978.2,,,,,,,,,,,,,,,,98.07,75.04,,,,,,,,0.04924,
2013-04-02,,,,,,,,,,,,,,,,,2002.2,,,,,,,,,,,,,,,,98.93,74.62,,,,,,,,0.04915,
2013-04-03,,,,,,,,,,,,,,,,,1978.9,,,,,,,,,,,,,,,,99.59,74.64,,,,,,,,0.04825,
2013-04-04,,,,,,,,,,,,,,,0.56,,1966.9,,,48.13,,,,,,,,,,,,,99.91,74.87,,,,,,,,0.04726,
2013-04-05,,,,,,,,,,,,,,,0.55,,1942.8,,,47.69,,,,,,,,,,,,,99.38,73.57,,,,,,,,0.04693,
2013-04-08,,,,,,,,,,,,,,,0.54,,1924.3,,,47.54,,,,,,,,,,,,,100.43,72.7,,,,,,,,0.04755,
2013-04-09,,,,,,,,,,,,,,,0.532,,1965.9,,,47.48,,,,,,,,,,,,,102.53,73.58,,,,,,,,0.04921,
2013-04-10,,,,,,,,,,,,,,,0.5416,,1942.3,,,46.96,,,317.74,,,,,,,,,,100.56,71.42,,,,,,,,0.04813,
2013-04-11,,,,,,,,,,,,,,,0.515,,1920.0,,,45.73,,,,,,,,,,,,,100.31,69.32,,,,,,,,0.04792,
2013-04-12,,,,,,,,,,,,,,,0.5,,1934.4,,,45.63,,,,,,,,,,,,,98.34,69.47,,,,,,,,0.04696,
2013-04-15,,,,,,,,,,,,,,,0.495,,1886.0,,,45.59,,,,,,,,,,,,,95.48,67.77,,,,,,,,0.04565,
2013-04-16,,,,,,,,,,,,,,,0.495,,1899.4,,,43.43,,,,,,,,,,,,,95.92,67.59,,,,,,,,0.04536,
2013-04-17,,,,,,,,,,,,,,,0.4705,,1892.3,,,43.43,,,310.0,,,,,,,,,,94.58,67.67,,,,,,,,0.04389,
2013-04-18,,,,,,,,,,,,,,,0.4727,,1893.9,,,42.63,,,,,,,,,,,,,95.35,68.39,,,,,,,,0.04352,
2013-04-19,,,,,,,,,,,,,,,0.45,,1887.6,,,43.46,,,,,,,,,,,,,96.22,70.3,,,,,,,,0.0438,
2013-04-22,,,,,,,,,,,,,,,0.4901,,1849.7,,,43.65,,,,,,,,,,,,,95.1,69.65,,,,,,,,0.04431,
2013-04-23,,,,,,,,,,,,,,,0.4911,,1890.6,,,43.95,,,,,,,,,,,,,96.46,70.05,,,,,,,,0.04588,
2013-04-24,,,,,,,,,,,,,,,0.5321,,1963.5,,,44.52,,,,,,,,,,,,,97.89,70.53,,,,,,,,0.0456,
2013-04-25,,,,,,,,,,,,,,,0.52,,1960.0,,,44.22,,,,,,,,,,,,,96.11,70.93,,,,,,,,0.0451,
2013-04-26,,,,,,,,,,,,,,,0.51,,1965.5,,,44.68,,,,,,,,,,,,,95.6,70.32,,,,,,,,0.04546,
2013-04-29,,,,,,,,,,,,,,,0.52,,1935.9,,,44.61,,,,,,,,,,,,,94.83,69.87,,,,,,,,0.04728,
2013-04-30,,,,,,,,,,,,,,,0.55,,1963.8,,,44.91,,,,,,,,,,,,,99.3,72.21,,,,,,,,0.04974,
2013-05-02,,,,,,,,,,,,,,,0.58,,1974.7,,,44.42,,,,,,,,,,,,,100.84,72.24,,,,,,,,0.04886,
2013-05-03,,,,,,,,,,,,,,,0.5851,,2008.7,,,44.55,,,,,,,,,,,,,102.92,72.77,,,,,,,,0.0491,
2013-05-06,,,,,,,,,,,,,,,0.5752,,2016.6,,,46.1,,,,,,,,,,,,,102.28,73.35,,,,,,,,0.04931,
2013-05-07,,,,,,,,,,,,,,,,,2038.0,,,47.2,,,,,,,,,,,,,105.14,74.73,,,,,,,,0.05065,
2013-05-08,,,,,,,,,,,,,,,,,2035.0,,,48.7,,,,,,,,,,,,,105.81,75.83,,,,,,,,0.05085,
2013-05-10,,,,,,,,,,,,,,,,,2000.9,,,48.6,,,,,,,,,,,,,103.78,75.39,,,,,,,,0.04989,
2013-05-13,,,,,,,,,,,,,,,0.532,,2005.0,,,48.74,,,,,,,,,,,,,103.34,75.81,,,,,,,,0.04722,
2013-05-14,,,,,,,,,,,,,,,0.548,,2015.6,,,48.87,,,310.0,,,,,,,,,,103.84,75.57,,,,,,,,0.0459,
2013-05-15,,,,,,,,,,,,,,,0.548,,2017.0,,,50.26,,,,,,,,,,,,,103.22,75.27,,,,,,,,0.0454,
2013-05-16,,,,,,,,,,,,,,,0.515,,2002.0,,,50.27,,,,,,,,,,,,,102.45,75.16,,,,,,,,0.04434,
2013-05-17,,,,,,,,,,,,,,,0.533,,2023.0,,,49.3,,,,,,,,,,,,,105.17,75.91,,,,,,,,0.04492,
2013-05-20,,,,,,,,,,,,,,,0.5365,,2026.0,,,48.72,,,277.72,,,,,,,,,,106.49,77.2,,,,,,,,0.04652,
2013-05-21,,,,,,,,,,,,,,,0.547,,2045.5,,,51.4,,,307.0,,,,,,,,,,108.9,78.13,,,,,,,,0.04805,
2013-05-22,,,,,,,,,,,,,,,0.5557,,2083.6,,,53.75,,,,,,,,,,,,,110.73,79.65,,,,,,,,0.04951,
2013-05-23,,,,,,,,,,,,,,,,,2037.6,,,53.85,,,,,,,,,,,,,105.61,76.5,,,,,,,,0.04784,
2013-05-24,,,,,,,,,,,,,,,0.5201,,2006.1,,,53.32,,,293.0,,,,,,,,,,102.97,75.54,,,,,,,,0.04661,
2013-05-27,,,,,,,,,,,,,,,0.523,,1995.1,,,53.29,,,,,,,,,,,,,102.86,75.49,,,,,,,,0.04655,
2013-05-28,,,,,,,,,,,,,,,0.5355,,2016.0,,,53.93,,,,,,,,,,,,,104.0,77.49,,,,,,,,0.04761,
2013-05-29,,,,,,,,,,,,,,,0.515,,1941.2,,,53.68,,,,,,,,,,,,,99.9,76.08,,,,,,,,0.04594,
2013-05-30,,,,,,,,,,,,,,,0.5,,1925.3,,,53.46,,,,,,,,,,,,,99.98,77.1,,,,,,,,0.04583,
2013-05-31,,,,,,,,,,,,,,,0.47,,1874.1,,,53.73,,,,,,,,,,,,,99.0,72.2,,,,,,,,0.04633,
2013-06-03,,,,,,,,,,,,,,,0.4625,,1891.0,,,52.85,,,,,,,,,,,,,98.8,72.05,,,,,,,,0.04674,
2013-06-04,,,,,,,,,,,,,,,0.4675,,1882.5,,,52.33,,,,,,,,,,,,,98.71,71.76,,,,,,,,0.04802,
2013-06-05,,,,,,,,,,,,,,,0.4675,,1880.1,,,52.58,,,,,,,,,,,,,97.5,70.7,,,,,,,,0.0472,
2013-06-06,,,,,,,,,,,,,,,0.457,,1873.2,,,53.19,,,,,,,,,,,,,96.91,72.12,,,,,,,,0.04665,
2013-06-07,,,,,,,,,,,,,,,0.4858,,1912.4,,,53.56,,,,,,,,,,,,,98.92,73.41,,,,,,,,0.04763,
2013-06-10,,,,,,,,,,,,,,,0.4908,,1888.0,,,53.6,,,,,,,,,,,,,97.9,73.27,,,,,,,,0.0477,
2013-06-11,,,,,,,,,,,,,,,0.465,,1862.2,,,52.59,,,,,,,,,,,,,94.7,70.59,,,,,,,,0.04749,
2013-06-13,,,,,,,,,,,,,,,0.5112,,1850.5,,,52.11,,,,,,,,,,,,,91.85,69.0,,,,,,,,0.04649,
2013-06-14,,,,,,,,,,,,,,,0.4799,,1866.4,,,51.14,,,,,,,,,,,,,93.64,70.23,,,,,,,,0.0475,
2013-06-17,,,,,,,,,,,,,,,0.4934,,1876.2,,,52.56,,,,,,,,,,,,,95.74,71.61,,,,,,,,0.04817,
2013-06-18,,,,,,,,,,,,,,,0.5011,,1890.0,,,52.79,,,,,,,,,,,,,96.36,72.39,,,,,,,,0.04895,
2013-06-19,,,,,,,,,,,,,,,,,1884.8,,,51.98,,,,,,,,,,,,,94.63,71.47,,,,,,,,0.04869,
2013-06-20,,,,,,,,,,,,,,,,,1864.7,,,51.31,,,,,,,,,,,,,91.56,69.19,,,,,,,,0.04692,
2013-06-21,,,,,,,,,,,,,,,0.4889,,1794.2,,,50.22,,,,,,,,,,,,,91.24,69.0,,,,,,,,0.0478,
2013-06-24,,,,,,,,,,,,,,,0.4989,,1790.4,,,50.71,,,349.0,,,,,,,,,,88.66,67.76,,,,,,,,0.04704,
2013-06-25,,,,,,,,,,,,,,,0.5,,1820.0,,,51.65,,,323.02,,,,,,,,,,89.74,68.07,,,,,,,,0.04803,
2013-06-26,,,,,,,,,,,,,,,,,1865.0,,,52.17,,,311.5,,,,,,,,,,92.67,69.86,,,,,,,,0.04911,
2013-06-27,,,,,,,,,,,,,,,,,1855.7,,,52.61,,,,,,,,,,,,,93.2,69.5,,,,,,,,0.04752,
2013-06-28,,,,,,,,,,,,,,,0.5,,1892.6,,,52.98,,,,,,,,,,,,,93.5,67.36,,,,,,,,0.04696,
2013-07-01,,,,,,,,,,,,,,,0.505,,1910.3,,,53.8,,,,,,,,,,,,,95.4,71.26,,,,,,,,0.04725,
2013-07-02,,,,,,,,,,,,,,,,,1913.8,,,53.82,,,,,,,,,,,,,94.59,70.82,,,,,,,,0.0474,
2013-07-03,,,,,,,,,,,,,,,0.517,,1924.3,,,53.41,,,,,,,,,,,,,93.18,69.57,,,,,,,,0.04695,
2013-07-04,,,,,,,,,,,,,,,0.529,,1925.5,,,53.58,,,,,,,,,,,,,94.0,70.81,,,,,,,,0.04735,
2013-07-05,,,,,,,,,,,,,,,0.529,,1915.9,,,53.6,,,,,,,,,,,,,93.3,70.22,,,,,,,,0.04761,
2013-07-08,,,,,,,,,,,,,,,,,1920.0,,7040.0,53.77,265.13,,,,,,,,,,,,93.0,70.41,,,,,,,,0.04719,
2013-07-09,,,,,,,,,,,,,,,0.54,,1911.2,,7240.0,53.7,,,,,,,,,,,103.0,,92.41,69.75,,,,,,,,0.04698,
2013-07-10,,,,,,,,,,,,,,,,,1894.1,,7100.0,53.04,261.5,,,,,,,,,,102.0,,91.03,69.64,,,199.18,,,,,0.04565,
2013-07-11,,,,,,,,,,,,,,,0.55,0.01292,1957.3,,7175.8,53.9,,,,,,,,,,,103.17,,95.55,72.9,,,199.17,,,,,0.04699,
2013-07-12,,,,,,,,,,,,,,,0.5492,,1988.0,,7293.0,53.91,270.0,,,,,,,,,,107.5,,98.4,74.62,,,201.29,,,,,0.047,
2013-07-15,,,,,,,,,,,,,,,0.552,,1991.9,,,53.98,271.0,,365.0,,,,,,,,109.8,,99.87,76.8,,,,,,,,0.04727,
2013-07-16,,,,,,,,,,,,,,,0.56,,1993.5,,,53.98,,,,,,,,,,,112.98,,99.35,76.36,,,,,,,,0.0472,
2013-07-17,,,,,,,,,,,,,,,0.585,0.010549,1994.3,,7350.0,53.94,273.6,,365.0,,,,,,,,115.05,,101.11,77.5,,,210.0,,,,,0.04777,
2013-07-18,,,,,,,,,,,,,,,0.564,0.013828,1998.5,,7350.0,53.9,,,365.01,,,,,,,,115.6,,98.47,75.41,,,209.99,,,,,0.04685,
2013-07-19,,,,,,,,,,,,,,,0.5781,,2016.2,,7650.1,53.78,270.03,,,,,,,,,,,,99.9,76.1,,,211.0,98.95,,,,0.04691,
2013-07-22,,,,,,,,,,,,,,,0.5786,,2008.8,,7815.0,53.79,274.44,,355.69,,,,,,,,,,97.82,75.0,,,213.0,,,,,0.04693,
2013-07-23,,,,,,,,,,,,,,,0.591,,2019.6,,8100.0,54.19,,,360.94,,,,,,,,,,96.97,74.4,,,210.0,,,,,0.04673,
2013-07-24,,,,,,,,,,,,,,,0.595,,2004.9,,7935.0,54.24,,,,,,,,,,,117.08,,96.16,74.08,,,207.0,,,,,0.04668,
2013-07-25,,,,,,,,,,,,,,,0.5775,,1986.1,,8020.0,54.25,283.0,,,,,,,,,,116.07,,95.78,73.45,,,206.0,,,,,0.04656,
2013-07-26,,,,,,,,,,,,,,,0.5619,,1991.4,,8222.0,54.19,,,,,,,,,,,,,94.76,72.94,,,204.0,,,,,0.04704,
2013-07-29,,,,,,,,,,,,,,,0.5692,0.012826,1976.7,,8000.0,55.06,277.01,,,,,,,,,,,,94.17,73.09,,,,,,,,0.04704,
2013-07-30,,,,,,,,,,,,,,,0.585,,1969.6,,8165.0,56.04,278.6,,,,,,,,,,,,94.13,74.14,,,205.5,,,,,0.0466,
2013-07-31,,,,,,,,,,,,,,,0.584,0.01263,1964.4,,8050.0,56.23,275.0,,,,,,,,,,112.01,,95.3,74.76,,,,,,,,0.04658,
2013-08-01,,,,,,,,,,,,,,,0.58,,1960.7,,8130.0,59.25,282.0,,,,,,,,,,113.17,,96.95,74.94,,,206.0,,,,,0.04694,
2013-08-02,,,,,,,,,,,,,,,0.5755,,1958.1,,8000.0,59.09,286.49,,361.0,,,,,,,,,,96.98,75.45,,,,,,,,0.04686,
2013-08-05,,,,,,,,,,,,,,,0.577,,1961.0,,,59.07,,,,,,,,,,,,,96.25,75.35,,,209.0,,,,,0.04641,
2013-08-06,,,,,,,,,,,,,,,0.57,,1898.0,,8040.0,55.99,282.12,,,,,,,,,,,,94.72,73.48,,,201.13,,,,,0.0462,
2013-08-07,,,,,,,,,,,,,,,0.573,0.0125,1907.0,,8020.0,56.05,,,341.0,,,,,,,,111.58,,94.48,72.51,,,203.0,,,,,0.04608,
2013-08-08,,,,,,,,,,,,,,,0.59,0.0126,1902.6,,,55.93,285.2,,,,,,,,,,,,94.09,72.49,,,201.5,,,,,0.04543,
2013-08-09,,,,,,,,,,,,,,,0.5717,,1923.5,,,56.1,290.4,,,,,,,,,,,,95.7,73.16,,,205.0,,,,,0.04583,
2013-08-12,,,,,,,,,,,,,,,0.5858,,1922.8,,,56.07,,,349.0,,,,,,,,113.6,,96.22,73.22,,,,,,,,0.04655,
2013-08-13,,,,,,,,,,,,,,,0.5908,0.01305,1952.4,,,56.78,,,,,,,,,,,,,97.4,74.35,,,209.0,,,,,0.04745,
2013-08-14,,,,,,,,,,,,,,,0.6,,1937.4,,,57.18,295.49,,,,623.9,,,,,,,,98.07,74.85,,,212.6,,,,,0.04756,
2013-08-15,,,,,,,,,,,,,,,0.5752,0.012877,1906.0,,8005.0,56.11,,,,,1371.8,,,,,,,,95.31,72.62,,,204.0,,,,,0.04712,
2013-08-16,,,,,,,,,,,,,,,0.5635,0.01251,1918.0,,8050.0,56.19,285.7,,,,,,,,,,109.56,,93.8,72.12,,,,,,,,0.04706,
2013-08-19,,,,,,,,,,,,,,,0.57,0.012592,1906.9,,7970.0,56.31,289.5,,359.0,,,,,,,,112.73,,93.66,72.9,,,208.0,,,,,0.0471,
2013-08-20,,,,,,,,,,,,,,,0.565,,1903.0,,,56.07,,,,,,,,,,,112.61,,91.74,71.75,,,207.8,,,,,0.04668,
2013-08-21,,,,,,,,,,,,,,,0.5659,0.01243,1905.0,,,56.21,298.4,,,,,,,,,,114.0,,90.52,71.67,,,208.0,,,,,0.04571,
2013-08-22,,,,,,,,,,,,,,,0.58,,1948.6,,7834.9,56.98,303.27,,,,,,,,,,115.0,,92.28,72.59,,,210.0,,,,,0.04601,
2013-08-23,,,,,,,,,,,,,,,0.569,0.01257,1947.3,,7989.5,57.01,296.01,,367.0,,,,,,,,114.21,,91.9,72.41,,,,,,,,0.04574,
2013-08-26,,,,,,,,,,,,,,,0.5659,0.012301,1942.4,,7815.0,57.28,300.0,,,,,,,,,,113.64,,91.25,72.07,,,210.48,,,,,0.0457,
2013-08-27,,,,,,,,,,,,,,,0.5613,0.0122,1949.3,,7500.1,58.28,293.51,,365.4,,,,,,,,110.0,,90.16,70.88,,,204.0,,,,,0.04533,
2013-08-28,,,,,,,,,,,,,,,0.5563,0.012036,1960.5,,7280.0,59.24,289.99,,,,,,,,,,108.72,,89.4,69.82,,,203.53,,,,,0.0453,
2013-08-29,,,,,,,,,,,,,,,0.5494,,1950.8,,7420.0,60.6,286.01,,365.0,,,,,,,,107.6,,89.68,70.17,,,206.5,,,,,0.04521,
2013-08-30,,,,,,,,,,,,,,,0.5436,0.011794,1924.2,,7400.0,60.96,288.0,,361.02,,,,,,,,101.01,,88.15,70.2,,,201.4,,,,,0.04459,
2013-09-02,,,33.0,,,,,,,,,,,,0.5488,0.011707,1945.1,,7566.7,61.05,283.01,,362.09,,929.9,64.07,,,389.95,,99.02,,89.48,70.0,,,207.5,104.24,,,,0.04455,
2013-09-03,,,33.198,,,,,,,,,,,,0.5516,0.011688,1942.5,,7500.0,61.65,286.0,,369.33,,928.0,63.42,,,381.9,,102.09,,90.45,70.4,,,207.32,105.3,,,,0.0448,
2013-09-04,,,33.327,,,,,,,,,,,,0.5412,0.011534,1929.9,,7529.5,61.91,282.96,,373.09,,937.7,62.69,,,392.8,,101.2,,90.33,70.29,,,207.99,105.51,,,,0.04474,
2013-09-05,,,33.34,,,,,,,,,,,,0.5452,0.011666,1993.0,,7735.0,62.84,295.0,,388.77,,946.8,63.44,,,391.4,,103.0,,92.78,71.39,,,213.65,107.99,,,,0.04549,
2013-09-06,,,33.061,,,,,,,,,,,,0.5432,0.011492,2000.2,,7671.8,64.87,297.1,,387.46,,944.9,62.51,,,398.0,,100.79,,92.47,70.81,,,216.92,107.8,,,,0.04417,
2013-09-09,,,33.299,,,,,,,,,,,,0.5455,0.011543,2020.0,,7709.1,64.91,300.55,,386.96,,932.0,63.16,,,399.93,,104.44,,94.81,73.51,,,220.0,109.5,,,,0.04435,
2013-09-10,,,33.01,,,,,,,,,,,,0.551,0.011665,2002.0,,7764.2,65.85,299.04,,385.3,,951.0,63.84,,,393.57,,107.22,,96.55,75.68,,,221.85,109.0,,,,0.04451,
2013-09-11,,,32.896,,,,,,,,,,,,0.5651,0.011738,2023.1,,7840.0,65.59,298.53,,392.7,,938.5,63.01,,,387.5,,108.08,,95.5,74.88,,,221.64,108.89,,,,0.04451,
2013-09-12,,,32.999,,,,,,,,,,,,0.555,0.011599,2008.8,,8090.0,65.45,298.4,,393.17,,935.3,63.71,,,383.4,,105.0,,95.53,74.71,,,219.0,109.14,,,,0.04422,
2013-09-13,,,32.678,,,,,,,,,,,,0.5374,0.0116,2006.6,,8055.0,64.82,299.98,,385.0,,949.0,63.97,,,363.0,,104.84,,95.82,74.44,,,219.38,109.0,,,,0.04378,
2013-09-16,,,33.25,,,,,,,,,,,,0.5463,0.011697,2029.0,,8171.2,66.99,308.2,,391.65,,976.9,64.55,,,344.5,,107.26,,98.97,76.94,,,221.65,109.09,,,,0.0438,
2013-09-17,,,33.748,,,,,,,,,,,,0.5588,0.011862,2029.9,,8113.1,66.26,307.95,,392.13,,962.0,64.09,,,340.0,,107.47,,99.6,77.32,,,223.0,109.0,,,,0.04406,
2013-09-18,,,35.1,,,,,,,,,,,,0.5563,0.0119,2017.5,,8083.2,65.7,308.36,,387.97,,955.0,63.68,,,344.18,,106.5,,99.79,76.37,,,220.45,108.51,,,,0.04377,
2013-09-19,,,35.099,,,,,,,,,,,,0.5676,0.0117,2036.7,,8230.0,65.55,313.5,,386.03,,957.9,63.02,,,374.4,,105.0,,102.33,78.0,,,223.3,111.01,,,,0.04376,
2013-09-20,,,34.51,,,,,,,,,,,,0.5628,0.011891,2025.0,,8080.0,63.25,311.8,,379.5,,965.0,63.17,,,348.16,,101.6,,102.36,77.79,,,225.62,111.4,,,,0.04361,
2013-09-23,,,35.115,,,,,,,,,,,,0.5596,0.011597,2042.1,,8030.0,62.41,307.13,,373.1,,944.8,62.52,,,339.58,,101.6,,101.82,76.8,,,220.83,110.4,,,,0.04362,
2013-09-24,,,34.9,,,,,,,,,,,,0.562,0.011648,2043.0,,8049.0,63.2,311.0,,377.83,,957.5,62.2,,,347.81,,102.2,,100.5,76.71,,,219.0,110.1,,,,0.04348,
2013-09-25,,,35.488,,,,,,,,,,,,0.566,0.011703,2079.0,,8091.0,60.35,316.32,,379.81,,955.2,63.3,,,344.95,,102.58,,101.95,77.9,,,217.34,110.5,,,,0.04359,
2013-09-26,,,35.5,,,,,,,,,,,,0.5664,0.01159,2082.0,,8258.0,60.26,319.5,,386.0,,976.3,64.27,,,354.3,,103.8,,101.67,77.9,,,215.68,111.47,,,,0.04336,
2013-09-27,,,36.8,,,,,,,,,,,,0.55,0.011474,2083.0,,8180.0,60.64,321.05,,382.92,,976.7,64.41,,,350.99,,103.5,,98.59,75.7,,,216.4,111.25,,,,0.04309,
2013-09-30,,,36.0,,,,,,,,,,,,0.5397,0.011094,2054.9,,8213.0,62.05,323.0,,386.01,,969.3,63.73,,,344.0,,101.61,,97.86,74.7,,,212.92,110.64,,,,0.04267,
2013-10-01,,,36.255,,,,,,,,,,,,0.5373,0.01103,2046.1,,8269.9,64.77,327.96,,382.56,,988.9,64.15,,,343.5,,103.84,,99.16,76.3,,,213.45,110.79,,,,0.04321,
2013-10-02,,,38.502,,,,,,,,,,,,0.5338,0.010855,2029.3,,8197.3,64.85,324.0,,373.2,,966.0,63.5,,,331.0,,106.7,,97.74,75.33,,,208.21,110.27,,,,0.04263,
2013-10-03,,,39.0,,,,,,,,,,,,0.5405,0.010745,2037.9,,8152.0,65.31,324.24,,376.0,,964.0,63.0,,,323.5,,105.81,,98.24,75.65,,,209.05,112.51,,,,0.04204,
2013-10-04,,,38.7,,,,,,,,,,,,0.5328,0.0105,2055.0,,8400.1,65.86,327.92,,379.75,,977.6,64.0,,,326.0,,106.55,,100.39,76.44,,,211.25,113.0,,,,0.04229,
2013-10-07,,,37.652,,,,,,,,,,,,0.5357,0.010392,2062.5,,8639.9,64.9,330.06,,387.5,,967.1,63.61,,,317.95,,106.16,,100.3,75.95,,,210.24,113.26,,,,0.04202,
2013-10-08,,,37.777,,,,,,,,,,,,0.5419,0.010657,2112.0,,8720.0,65.97,329.97,,393.8,,983.6,63.8,,,320.0,,106.08,,102.11,77.73,,,215.18,114.0,,,,0.04231,
2013-10-09,,,37.0,,,,,,,,,,,,0.5449,0.01025,2111.6,,8698.6,66.8,328.9,,391.89,,998.5,64.3,,,318.0,,104.44,,101.48,77.6,,,214.33,114.3,,,,0.04223,
2013-10-10,,,36.88,,,,,,,,,,,,0.5579,0.01039,2120.0,,8666.2,67.2,333.73,,407.89,,1023.0,63.35,,,316.16,,105.0,,103.43,78.8,,,218.44,114.5,,,,0.04275,
2013-10-11,,,34.75,,,,,,,,,,,,0.552,0.010294,2119.0,,8539.9,67.5,336.21,,406.1,,1020.0,63.2,,,301.99,,105.39,,102.87,78.61,,,217.81,114.55,,,,0.04299,
2013-10-14,,,34.823,,,,,,,,,,,,0.5551,0.01025,2107.0,,8360.0,67.74,336.8,,399.8,,1038.3,62.99,,,309.09,,104.87,,102.93,78.6,,,218.83,114.51,,,,0.0436,
2013-10-15,,,35.0,,,,,,,,,,,,0.5579,0.010326,2136.0,,8452.1,68.27,344.8,,400.1,,1037.8,63.0,,,285.0,,106.91,,104.55,79.88,,,221.99,119.25,,,,0.04383,
2013-10-16,,,34.999,,,,,,,,,,,,0.5533,0.010552,2125.1,,8333.0,68.07,351.5,,401.48,,1033.9,61.98,,,274.94,,107.5,,104.05,79.99,,,220.38,116.6,,,,0.04383,
2013-10-17,,,35.1,,,,,,,,,,,,0.5435,0.010525,2092.3,,8323.3,67.75,343.0,,395.97,,1011.1,62.04,,,285.0,,108.29,,103.33,79.4,,,219.6,115.51,,,,0.04325,
2013-10-18,,,35.244,,,,,,,,,,,,0.563,0.010481,2122.1,,8386.0,68.1,348.5,,406.63,,1013.9,62.5,,,308.52,,108.68,,105.14,81.15,,,222.96,117.2,,,,0.04337,
2013-10-21,,,35.003,,,,,,,,,,,,0.5708,0.010556,2117.6,,8480.3,68.0,341.0,,409.39,,1006.1,63.0,,,307.8,,108.22,,105.43,82.33,,,221.51,116.46,,,,0.04357,
2013-10-22,,,34.96,,,,,,,,,,,,0.5621,0.010621,2108.0,,8547.0,67.98,345.39,,407.25,,1000.0,63.5,,,314.0,,107.74,,105.4,82.67,,,220.58,117.21,,,,0.04334,
2013-10-23,,,34.85,,,,,,,,,,,,0.5539,0.010327,2087.5,,8570.0,66.99,338.5,,405.0,,983.0,63.21,,,309.01,,106.0,,103.29,80.84,,,216.7,115.3,,,,0.04296,
2013-10-24,,,34.9,,,,,,,,,,,,0.5471,0.010181,2071.1,,8447.7,65.89,339.21,,407.05,,970.7,63.14,,,309.47,,111.16,,102.86,80.58,,,212.86,115.4,,,,0.04266,
2013-10-25,,,34.95,,,,,,,,,,,,0.5423,0.009731,2094.0,,8312.3,66.0,336.39,,413.6,,964.1,62.47,,,312.92,,115.05,,102.99,81.34,,,214.13,115.41,,,,0.04258,
2013-10-28,,,35.25,,,,,,,,,,,,0.5579,0.009598,2097.9,,8510.7,65.0,337.8,,415.87,,960.2,63.45,,,315.2,,117.1,,102.84,81.6,,,216.49,116.51,,,,0.04339,
2013-10-29,,,36.153,,,,,,,,,,,,0.5543,0.009469,2107.2,,8599.0,63.65,341.54,,415.94,,960.0,63.11,,,317.24,,117.82,,102.8,82.68,,,217.0,116.5,,,,0.04336,
2013-10-30,,,37.4,,,,,,,,,,,,0.5574,0.009535,2089.9,,8700.0,62.9,339.97,,413.0,,964.1,63.34,,,317.2,,117.34,,103.11,82.54,,,219.83,117.5,,,,0.0441,
2013-10-31,,57.4,36.219,,,,,,,,,,,,0.5636,0.00936,2102.4,,8651.1,61.23,340.0,,410.95,,970.0,63.04,,,308.02,,117.42,,102.74,82.98,,,220.54,118.0,,,,0.04435,
2013-11-01,,57.38,35.951,,,,,,,,,,,,0.5588,0.009325,2112.0,,8740.0,61.4,338.4,,416.9,,986.5,63.93,,,293.8,,117.1,,103.65,83.61,,,220.7,118.87,,,,0.0447,
2013-11-05,,56.85,35.2,,,,,,,,,,,,0.555,0.009259,2093.9,,8715.0,60.9,335.27,,414.03,,969.8,63.0,,,305.72,,116.7,,102.47,82.09,,,219.18,118.57,,,,0.0443,
2013-11-06,,57.4,36.0,,,,,,,,,,,,0.551,0.009079,2087.4,,8678.9,61.01,329.53,,411.99,,951.5,62.52,,,299.95,,116.75,,102.59,83.22,,,218.5,118.31,,,,0.04459,
2013-11-07,,58.45,36.1,,,,,,,,,,,,0.557,0.00889,2093.0,,8752.0,60.98,330.09,,413.33,,959.8,62.8,,,306.11,,117.03,,103.55,83.55,,,219.17,118.8,,,,0.04483,
2013-11-08,,57.1,36.1,,,,,,,,,,,,0.5543,0.008411,2064.1,,8602.7,61.45,328.69,,404.05,,953.1,62.55,,,294.0,,116.79,,101.86,82.94,,,214.28,117.8,,,,0.04548,
2013-11-11,,57.47,36.14,,,,,,,,,,,,0.5535,0.008275,2059.6,,8644.3,62.49,326.0,,408.14,,963.3,62.6,,,295.35,,116.05,,101.77,82.36,,,211.1,117.12,,,,0.0453,
2013-11-12,,57.88,35.712,,,,,,,,,,,,0.5549,0.008541,2079.0,,8770.0,64.8,326.09,,416.0,,977.0,62.6,,,282.71,,117.79,,104.25,83.05,,,211.89,118.17,,,,0.04565,
