ticker,date,dividends,currency
TATN,2016-07-08,10.96,RUR
TATNP,2016-07-08,10.96,RUR
FEES,2016-07-11,0.0133185,RUR
MFON,2016-07-11,48.38,RUR
MFON,2016-07-11,8.06,RUR
MSTT,2016-07-11,10.64,RUR
MTLRP,2016-07-11,0.05,RUR
LKOH,2016-07-12,112.0,RUR
KRKNP,2016-07-13,1734.32,RUR
AFKS,2016-07-14,0.67,RUR
BANE,2016-07-15,164.0,RUR
BANEP,2016-07-15,164.0,RUR
DSKY,2016-07-17,1.77,RUR
IRKT,2016-07-17,0.6,RUR
HIMCP,2016-07-18,0.10497,RUR
MGTSP,2016-07-18,222.0,RUR
OMZZP,2016-07-18,0.012,RUR
SNGS,2016-07-18,0.6,RUR
SNGSP,2016-07-18,6.92,RUR
ALRS,2016-07-19,2.09,RUR
RSTI,2016-07-19,0.00831813,RUR
RSTIP,2016-07-19,0.07452614,RUR
GAZP,2016-07-20,7.89,RUR
TRNFP,2016-07-20,823.31,RUR
PHOR,2016-08-10,63.0,RUR
PRMB,2016-08-29,200.0,RUR
NMTP,2016-09-14,0.467,RUR
CHMF,2016-09-16,19.66,RUR
AKRN,2016-09-20,155.0,RUR
TRCN,2016-09-20,251.84,RUR
TRCN,2016-09-20,95.76,RUR
MGNT,2016-09-23,84.6,RUR
KAZT,2016-10-02,1.0,RUR
KAZTP,2016-10-02,1.0,RUR
VSMO,2016-10-03,816.0,RUR
AFKS,2016-10-07,0.38,RUR
MAGN,2016-10-11,0.72,RUR
NVTK,2016-10-11,6.9,RUR
NLMK,2016-10-12,1.08,RUR
MTSS,2016-10-14,11.99,RUR
PHOR,2016-10-14,33.0,RUR
HIMCP,2016-12-04,0.4758,RUR
DSKY,2016-12-12,4.22,RUR
PRTK,2016-12-12,7.5,RUR
CHMF,2016-12-13,24.96,RUR
MRSB,2016-12-13,0.052,RUR
KAZT,2016-12-18,1.0,RUR
KAZTP,2016-12-18,1.0,RUR
UPRO,2016-12-19,0.1158,RUR
MFON,2016-12-20,24.19,RUR
NKHP,2016-12-21,9.46,RUR
LKOH,2016-12-23,75.0,RUR
MGNT,2016-12-23,126.12,RUR
GMKN,2016-12-28,444.25,RUR
NLMK,2017-01-09,3.63,RUR
PHOR,2017-01-27,39.0,RUR
KAZT,2017-05-10,1.0,RUR
KAZTP,2017-05-10,1.0,RUR
KZOS,2017-04-24,5.0726,RUR
KZOSP,2017-04-24,0.25,RUR
GCHE,2017-05-01,13.65,RUR
NVTK,2017-05-02,7.0,RUR
VTBR,2017-05-10,0.00117,RUR
MOEX,2017-05-16,7.68,RUR
TTLK,2017-05-16,0.0091,RUR
NMTP,2017-05-29,0.7788237,RUR
BSPB,2017-05-31,1.05,RUR
VSMO,2017-06-05,1300.0,RUR
MAGN,2017-06-06,1.242,RUR
PMSBP,2017-06-08,6.975408,RUR
KRSBP,2017-06-13,0.444344266,RUR
PHOR,2017-06-13,30.0,RUR
MSNG,2017-06-14,0.08482,RUR
NLMK,2017-06-14,3.38,RUR
NLMK,2017-06-14,2.35,RUR
SBER,2017-06-14,6.0,RUR
SBERP,2017-06-14,6.0,RUR
MRKP,2017-06-16,0.011793,RUR
CHMF,2017-06-20,27.73,RUR
CHMF,2017-06-20,24.44,RUR
IRAO,2017-06-20,0.146819923371648,RUR
LSRG,2017-06-20,78.0,RUR
MRKU,2017-06-20,0.0083,RUR
OGKB,2017-06-20,0.00825304739908,RUR
MRKC,2017-06-21,0.044215195,RUR
MSRS,2017-06-21,0.031205,RUR
GMKN,2017-06-23,446.1,RUR
MGNT,2017-06-23,67.41,RUR
LSNGP,2017-06-26,8.107405,RUR
MRKV,2017-06-26,0.0070440486,RUR
MRKZ,2017-06-26,0.0011608,RUR
SIBN,2017-06-26,10.68,RUR
ENRU,2017-06-28,0.06822,RUR
OMZZP,2017-07-03,0.012,RUR
ROSN,2017-07-03,5.98,RUR
UPRO,2017-07-04,0.093676292284,RUR
UPRO,2017-07-04,0.0173489836955,RUR
CNTLP,2017-07-07,0.0164246,RUR
RTKM,2017-07-07,5.387002045593,RUR
RTKMP,2017-07-07,5.387002045593,RUR
TATN,2017-07-07,22.81,RUR
TATNP,2017-07-07,22.81,RUR
TGKA,2017-07-07,0.000345336,RUR
HYDR,2017-07-10,0.0466245,RUR
LKOH,2017-07-10,120.0,RUR
MTSS,2017-07-10,15.6,RUR
NKHP,2017-07-10,2.359939,RUR
PRMB,2017-07-10,500.0,RUR
AKRN,2017-07-11,95.0,RUR
HIMCP,2017-07-11,0.1634,RUR
MFON,2017-07-11,32.25,RUR
MTLRP,2017-07-11,10.28,RUR
TRCN,2017-07-11,46.81,RUR
VZRZP,2017-07-11,7.7,RUR
BANEP,2017-07-12,0.1,RUR
KMAZ,2017-07-12,0.42,RUR
AFKS,2017-07-13,0.81,RUR
KRKNP,2017-07-13,1051.46,RUR
MGTSP,2017-07-13,233.0,RUR
AFLT,2017-07-14,17.4795,RUR
DSKY,2017-07-17,3.48,RUR
IRKT,2017-07-17,0.9,RUR
PHOR,2017-07-17,21.0,RUR
PLZL,2017-07-17,152.41,RUR
MSTT,2017-07-18,10.64,RUR
FEES,2017-07-19,0.0142663525,RUR
FEES,2017-07-19,0.001116473,RUR
RSTI,2017-07-19,0.00621446,RUR
RSTIP,2017-07-19,0.368355281,RUR
SNGS,2017-07-19,0.6,RUR
SNGSP,2017-07-19,0.6,RUR
ALRS,2017-07-20,8.93,RUR
GAZP,2017-07-20,8.0397,RUR
TRNFP,2017-07-20,4296.48,RUR
MTSS,2017-10-13,10.4,RUR
NKHP,2017-09-08,7.406955,RUR
HIMCP,2017-09-10,0.1198,RUR
MGNT,2017-09-15,115.51,RUR
TRNFP,2017-09-19,3875.49,RUR
PLZL,2017-09-25,104.3,RUR
AKRN,2017-09-26,235.0,RUR
CHMF,2017-09-26,22.28,RUR
MOEX,2017-09-29,2.49,RUR
KAZT,2017-10-08,1.0,RUR
KAZTP,2017-10-08,1.0,RUR
GCHE,2017-10-07,18.84875996,RUR
GCHE,2017-10-07,34.4209283,RUR
GCHE,2017-10-07,1.7059669,RUR
GCHE,2017-10-07,4.846326,RUR
MAGN,2017-10-10,0.869,RUR
NVTK,2017-10-10,6.95,RUR
ROSN,2017-10-10,3.83,RUR
NLMK,2017-10-12,3.2,RUR
PHOR,2017-10-13,24.0,RUR
GMKN,2017-10-19,224.2,RUR
VSMO,2017-10-19,762.68,RUR
VRSB,2017-11-14,1.28677,RUR
CHMF,2017-12-05,35.61,RUR
AFKS,2017-12-08,0.68,RUR
HIMCP,2017-12-11,0.202,RUR
PRTK,2017-12-11,5.67,RUR
BANE,2017-12-12,148.31,RUR
BANEP,2017-12-12,148.31,RUR
DSKY,2017-12-15,2.97,RUR
NKHP,2017-12-15,6.8,RUR
UPRO,2017-12-18,0.1110252759795,RUR
MAGN,2017-12-19,1.111,RUR
MSTT,2017-12-19,8.45,RUR
LKOH,2017-12-22,85.0,RUR
TATN,2017-12-23,27.78,RUR
TATNP,2017-12-23,27.78,RUR
SFIN,2017-12-26,13.0,RUR
SIBN,2017-12-29,10.0,RUR
KAZT,2018-01-08,1.0,RUR
KAZTP,2018-01-08,1.0,RUR
